Match_ID,Match_Date,League,Home_Team,Away_Team,Venue_Type,Weather,Home_Goals,Away_Goals,Possession_Home_Percent,Shots_On_Target_Home,Shots_On_Target_Away,Fouls_Committed,Yellow_Cards,Red_Cards,Attendance,Possession_Away_Percent,Match_Result,Total_Goals,Goal_Difference,Absolute_Goal_Difference,Total_Shots_On_Target,Possession_Difference,Absolute_Possession_Difference,Year,Month,Day_Name
MTC-21391,2022-08-06,Championship League,Pune Warriors,Chennai Titans,Neutral,Rainy,5,3,62,11,6,5,6,1,36200,38,Home Win,8,2,2,17,24,24,2022,8,Saturday
MTC-23167,2022-08-06,Cup Series,Bengaluru FC,Hyderabad Falcons,Neutral,Windy,0,0,62,2,10,17,5,1,62339,38,Draw,0,0,0,12,24,24,2022,8,Saturday
MTC-20544,2022-08-06,Premier Division,Mumbai United,Jaipur Lions,Away,Windy,4,4,47,9,1,7,6,0,43276,53,Draw,8,0,0,10,-6,6,2022,8,Saturday
MTC-22861,2022-08-07,Championship League,Jaipur Lions,Hyderabad Falcons,Away,Clear,4,1,59,6,1,15,2,0,54182,41,Home Win,5,3,3,7,18,18,2022,8,Sunday
MTC-21734,2022-08-07,Championship League,Goa Sharks,Kerala Blasters,Neutral,Cloudy,2,0,57,9,2,9,5,0,17874,43,Home Win,2,2,2,11,14,14,2022,8,Sunday
MTC-22111,2022-08-08,Cup Series,Chennai Titans,Goa Sharks,Away,Windy,0,1,59,7,2,5,3,1,61907,41,Away Win,1,-1,1,9,18,18,2022,8,Monday
MTC-21192,2022-08-08,Premier Division,Bengaluru FC,Pune Warriors,Neutral,Windy,3,2,33,12,7,8,3,0,12433,67,Home Win,5,1,1,19,-34,34,2022,8,Monday
MTC-23653,2022-08-08,Championship League,Goa Sharks,Mumbai United,Away,Windy,4,3,59,6,0,6,5,0,51667,41,Home Win,7,1,1,6,18,18,2022,8,Monday
MTC-23749,2022-08-08,Premier Division,Goa Sharks,Kolkata Strikers,Home,Cloudy,2,3,61,2,13,17,5,1,30172,39,Away Win,5,-1,1,15,22,22,2022,8,Monday
MTC-22292,2022-08-08,Premier Division,Kolkata Strikers,Chennai Titans,Neutral,Windy,3,0,57,3,12,21,1,0,26448,43,Home Win,3,3,3,15,14,14,2022,8,Monday
MTC-20233,2022-08-09,Championship League,Kerala Blasters,Chennai Titans,Home,Rainy,3,4,58,9,14,16,3,1,49432,42,Away Win,7,-1,1,23,16,16,2022,8,Tuesday
MTC-23569,2022-08-09,Championship League,Jaipur Lions,Goa Sharks,Neutral,Windy,3,0,43,8,13,10,6,0,23247,57,Home Win,3,3,3,21,-14,14,2022,8,Tuesday
MTC-20846,2022-08-09,Cup Series,Goa Sharks,Jaipur Lions,Home,Clear,4,3,38,14,10,5,0,0,12933,62,Home Win,7,1,1,24,-24,24,2022,8,Tuesday
MTC-20920,2022-08-09,Championship League,Kolkata Strikers,Kerala Blasters,Away,Windy,5,2,52,4,6,18,3,0,63477,48,Home Win,7,3,3,10,4,4,2022,8,Tuesday
MTC-22102,2022-08-09,Cup Series,Delhi Dynamos,Goa Sharks,Home,Rainy,0,1,52,11,3,21,2,1,41263,48,Away Win,1,-1,1,14,4,4,2022,8,Tuesday
MTC-23209,2022-08-10,Cup Series,Chennai Titans,Kolkata Strikers,Home,Windy,3,3,33,6,10,14,0,1,33712,67,Draw,6,0,0,16,-34,34,2022,8,Wednesday
MTC-21264,2022-08-10,Cup Series,Pune Warriors,Kolkata Strikers,Home,Cloudy,0,1,35,0,9,12,1,0,58538,65,Away Win,1,-1,1,9,-30,30,2022,8,Wednesday
MTC-21932,2022-08-10,Championship League,Goa Sharks,Jaipur Lions,Away,Clear,5,0,64,10,1,21,6,0,2356,36,Home Win,5,5,5,11,28,28,2022,8,Wednesday
MTC-22583,2022-08-10,Championship League,Kolkata Strikers,Jaipur Lions,Home,Windy,5,0,51,4,14,20,6,0,57763,49,Home Win,5,5,5,18,2,2,2022,8,Wednesday
MTC-20182,2022-08-10,Cup Series,Jaipur Lions,Pune Warriors,Neutral,Cloudy,2,4,44,7,0,24,3,0,47591,56,Away Win,6,-2,2,7,-12,12,2022,8,Wednesday
MTC-21890,2022-08-10,Cup Series,Hyderabad Falcons,Kolkata Strikers,Neutral,Windy,1,2,67,10,4,17,0,1,21642,33,Away Win,3,-1,1,14,34,34,2022,8,Wednesday
MTC-20310,2022-08-11,Premier Division,Jaipur Lions,Delhi Dynamos,Neutral,Cloudy,4,4,44,11,1,24,3,1,57471,56,Draw,8,0,0,12,-12,12,2022,8,Thursday
MTC-22708,2022-08-11,Premier Division,Hyderabad Falcons,Chennai Titans,Away,Clear,0,4,39,6,11,19,3,0,15215,61,Away Win,4,-4,4,17,-22,22,2022,8,Thursday
MTC-20601,2022-08-12,Championship League,Hyderabad Falcons,Pune Warriors,Home,Rainy,1,2,68,12,10,20,5,1,38965,32,Away Win,3,-1,1,22,36,36,2022,8,Friday
MTC-21495,2022-08-12,Championship League,Mumbai United,Pune Warriors,Home,Rainy,2,0,41,9,12,14,4,0,23570,59,Home Win,2,2,2,21,-18,18,2022,8,Friday
MTC-23383,2022-08-12,Premier Division,Bengaluru FC,Hyderabad Falcons,Neutral,Clear,1,5,60,4,12,16,1,1,9777,40,Away Win,6,-4,4,16,20,20,2022,8,Friday
MTC-23474,2022-08-12,Premier Division,Hyderabad Falcons,Chennai Titans,Neutral,Rainy,3,0,37,13,1,17,3,1,41483,63,Home Win,3,3,3,14,-26,26,2022,8,Friday
MTC-20505,2022-08-12,Premier Division,Bengaluru FC,Kolkata Strikers,Away,Windy,5,3,43,3,2,21,5,0,5031,57,Home Win,8,2,2,5,-14,14,2022,8,Friday
MTC-20839,2022-08-12,Championship League,Bengaluru FC,Chennai Titans,Neutral,Windy,4,3,62,13,13,18,2,0,4334,38,Home Win,7,1,1,26,24,24,2022,8,Friday
MTC-23443,2022-08-13,Premier Division,Bengaluru FC,Pune Warriors,Neutral,Clear,5,0,69,11,11,20,3,0,4156,31,Home Win,5,5,5,22,38,38,2022,8,Saturday
MTC-22610,2022-08-13,Championship League,Pune Warriors,Goa Sharks,Away,Cloudy,3,0,48,6,14,18,6,1,53696,52,Home Win,3,3,3,20,-4,4,2022,8,Saturday
MTC-20281,2022-08-13,Premier Division,Goa Sharks,Mumbai United,Away,Rainy,3,3,45,13,12,8,3,1,16727,55,Draw,6,0,0,25,-10,10,2022,8,Saturday
MTC-21216,2022-08-13,Championship League,Pune Warriors,Bengaluru FC,Neutral,Rainy,4,3,53,4,13,22,3,1,5920,47,Home Win,7,1,1,17,6,6,2022,8,Saturday
MTC-20243,2022-08-14,Championship League,Hyderabad Falcons,Pune Warriors,Home,Cloudy,2,5,53,8,9,6,0,1,10024,47,Away Win,7,-3,3,17,6,6,2022,8,Sunday
MTC-21438,2022-08-14,Premier Division,Delhi Dynamos,Goa Sharks,Away,Clear,0,0,53,1,5,5,0,1,5365,47,Draw,0,0,0,6,6,6,2022,8,Sunday
MTC-21575,2022-08-14,Cup Series,Delhi Dynamos,Hyderabad Falcons,Neutral,Windy,5,4,41,3,5,5,4,1,57408,59,Home Win,9,1,1,8,-18,18,2022,8,Sunday
MTC-23687,2022-08-14,Cup Series,Kolkata Strikers,Jaipur Lions,Away,Windy,0,5,58,2,7,12,5,0,55035,42,Away Win,5,-5,5,9,16,16,2022,8,Sunday
MTC-22483,2022-08-14,Championship League,Mumbai United,Delhi Dynamos,Neutral,Rainy,5,1,46,2,4,17,1,0,37865,54,Home Win,6,4,4,6,-8,8,2022,8,Sunday
MTC-20859,2022-08-14,Premier Division,Pune Warriors,Kolkata Strikers,Neutral,Clear,1,3,65,14,10,5,6,1,30670,35,Away Win,4,-2,2,24,30,30,2022,8,Sunday
MTC-21172,2022-08-15,Premier Division,Hyderabad Falcons,Mumbai United,Home,Clear,4,0,61,4,9,9,5,0,12920,39,Home Win,4,4,4,13,22,22,2022,8,Monday
MTC-20593,2022-08-15,Championship League,Jaipur Lions,Hyderabad Falcons,Home,Clear,3,2,65,7,10,7,1,0,53406,35,Home Win,5,1,1,17,30,30,2022,8,Monday
MTC-20478,2022-08-15,Premier Division,Hyderabad Falcons,Bengaluru FC,Away,Windy,0,4,61,5,5,19,5,0,41566,39,Away Win,4,-4,4,10,22,22,2022,8,Monday
MTC-20707,2022-08-15,Cup Series,Pune Warriors,Jaipur Lions,Away,Windy,4,3,43,12,1,6,4,1,19324,57,Home Win,7,1,1,13,-14,14,2022,8,Monday
MTC-20185,2022-08-15,Championship League,Kolkata Strikers,Hyderabad Falcons,Neutral,Windy,1,4,55,1,5,6,5,0,64894,45,Away Win,5,-3,3,6,10,10,2022,8,Monday
MTC-22003,2022-08-15,Championship League,Kerala Blasters,Jaipur Lions,Neutral,Cloudy,4,2,67,4,13,18,1,0,11857,33,Home Win,6,2,2,17,34,34,2022,8,Monday
MTC-22225,2022-08-15,Championship League,Bengaluru FC,Mumbai United,Home,Windy,5,2,37,8,13,5,6,0,61562,63,Home Win,7,3,3,21,-26,26,2022,8,Monday
MTC-22853,2022-08-15,Championship League,Bengaluru FC,Kerala Blasters,Away,Cloudy,4,1,61,14,2,15,5,0,23049,39,Home Win,5,3,3,16,22,22,2022,8,Monday
MTC-21054,2022-08-16,Premier Division,Mumbai United,Delhi Dynamos,Neutral,Clear,3,2,61,4,11,23,4,1,60506,39,Home Win,5,1,1,15,22,22,2022,8,Tuesday
MTC-21988,2022-08-16,Premier Division,Kolkata Strikers,Goa Sharks,Home,Clear,5,3,66,5,8,16,5,1,25384,34,Home Win,8,2,2,13,32,32,2022,8,Tuesday
MTC-22774,2022-08-16,Premier Division,Kerala Blasters,Bengaluru FC,Away,Clear,5,1,36,11,1,21,6,1,53085,64,Home Win,6,4,4,12,-28,28,2022,8,Tuesday
MTC-23703,2022-08-16,Cup Series,Goa Sharks,Delhi Dynamos,Neutral,Clear,4,4,57,5,10,8,4,0,51757,43,Draw,8,0,0,15,14,14,2022,8,Tuesday
MTC-23276,2022-08-16,Premier Division,Pune Warriors,Mumbai United,Neutral,Cloudy,1,3,50,4,7,5,1,1,7125,50,Away Win,4,-2,2,11,0,0,2022,8,Tuesday
MTC-21266,2022-08-16,Premier Division,Delhi Dynamos,Pune Warriors,Neutral,Rainy,1,0,54,1,2,20,3,0,44964,46,Home Win,1,1,1,3,8,8,2022,8,Tuesday
MTC-22769,2022-08-17,Cup Series,Jaipur Lions,Chennai Titans,Neutral,Clear,3,2,60,0,14,15,5,0,19039,40,Home Win,5,1,1,14,20,20,2022,8,Wednesday
MTC-21470,2022-08-17,Championship League,Delhi Dynamos,Hyderabad Falcons,Away,Clear,2,4,69,2,14,7,6,0,8599,31,Away Win,6,-2,2,16,38,38,2022,8,Wednesday
MTC-23072,2022-08-17,Championship League,Pune Warriors,Kolkata Strikers,Neutral,Cloudy,2,5,49,9,4,5,2,1,41428,51,Away Win,7,-3,3,13,-2,2,2022,8,Wednesday
MTC-20537,2022-08-18,Premier Division,Chennai Titans,Delhi Dynamos,Neutral,Windy,4,0,67,9,8,21,4,1,28121,33,Home Win,4,4,4,17,34,34,2022,8,Thursday
MTC-21205,2022-08-18,Championship League,Chennai Titans,Hyderabad Falcons,Neutral,Clear,1,2,59,9,13,20,3,1,53618,41,Away Win,3,-1,1,22,18,18,2022,8,Thursday
MTC-21573,2022-08-18,Championship League,Jaipur Lions,Chennai Titans,Away,Rainy,4,2,34,3,7,24,1,1,7573,66,Home Win,6,2,2,10,-32,32,2022,8,Thursday
MTC-22800,2022-08-19,Premier Division,Delhi Dynamos,Kolkata Strikers,Home,Cloudy,4,1,58,8,6,21,5,1,51877,42,Home Win,5,3,3,14,16,16,2022,8,Friday
MTC-20791,2022-08-19,Championship League,Delhi Dynamos,Kolkata Strikers,Home,Rainy,3,5,48,9,11,19,2,0,21201,52,Away Win,8,-2,2,20,-4,4,2022,8,Friday
MTC-22663,2022-08-19,Championship League,Chennai Titans,Delhi Dynamos,Neutral,Rainy,2,5,42,6,14,6,6,1,9735,58,Away Win,7,-3,3,20,-16,16,2022,8,Friday
MTC-22159,2022-08-19,Cup Series,Jaipur Lions,Hyderabad Falcons,Home,Rainy,0,1,41,14,1,20,1,1,18253,59,Away Win,1,-1,1,15,-18,18,2022,8,Friday
MTC-21184,2022-08-20,Premier Division,Delhi Dynamos,Goa Sharks,Home,Rainy,3,5,52,11,12,12,6,0,15386,48,Away Win,8,-2,2,23,4,4,2022,8,Saturday
MTC-23016,2022-08-20,Cup Series,Mumbai United,Pune Warriors,Home,Windy,3,5,58,3,8,9,0,1,24405,42,Away Win,8,-2,2,11,16,16,2022,8,Saturday
MTC-23398,2022-08-20,Championship League,Hyderabad Falcons,Delhi Dynamos,Home,Windy,0,3,37,10,10,20,3,1,47114,63,Away Win,3,-3,3,20,-26,26,2022,8,Saturday
MTC-22278,2022-08-20,Cup Series,Bengaluru FC,Goa Sharks,Away,Cloudy,5,3,39,13,7,22,6,1,46904,61,Home Win,8,2,2,20,-22,22,2022,8,Saturday
MTC-20284,2022-08-20,Cup Series,Kerala Blasters,Bengaluru FC,Home,Cloudy,2,0,69,9,6,21,5,0,51632,31,Home Win,2,2,2,15,38,38,2022,8,Saturday
MTC-22222,2022-08-21,Cup Series,Goa Sharks,Chennai Titans,Home,Rainy,3,3,70,10,5,19,4,1,43687,30,Draw,6,0,0,15,40,40,2022,8,Sunday
MTC-21693,2022-08-21,Cup Series,Pune Warriors,Jaipur Lions,Neutral,Windy,5,0,36,6,14,22,0,1,45664,64,Home Win,5,5,5,20,-28,28,2022,8,Sunday
MTC-23320,2022-08-21,Premier Division,Delhi Dynamos,Kolkata Strikers,Away,Rainy,4,2,70,10,1,13,3,0,22174,30,Home Win,6,2,2,11,40,40,2022,8,Sunday
MTC-20231,2022-08-22,Cup Series,Goa Sharks,Jaipur Lions,Neutral,Rainy,1,4,64,9,4,6,5,0,41790,36,Away Win,5,-3,3,13,28,28,2022,8,Monday
MTC-22412,2022-08-22,Premier Division,Bengaluru FC,Chennai Titans,Away,Clear,4,2,65,1,4,8,0,0,48262,35,Home Win,6,2,2,5,30,30,2022,8,Monday
MTC-22841,2022-08-22,Cup Series,Chennai Titans,Pune Warriors,Away,Rainy,5,0,64,7,14,15,6,1,14363,36,Home Win,5,5,5,21,28,28,2022,8,Monday
MTC-22418,2022-08-22,Championship League,Kerala Blasters,Goa Sharks,Neutral,Rainy,1,4,56,7,12,21,0,1,31457,44,Away Win,5,-3,3,19,12,12,2022,8,Monday
MTC-21108,2022-08-22,Premier Division,Chennai Titans,Hyderabad Falcons,Home,Cloudy,1,3,64,4,11,10,6,0,56180,36,Away Win,4,-2,2,15,28,28,2022,8,Monday
MTC-23104,2022-08-22,Premier Division,Kolkata Strikers,Chennai Titans,Neutral,Clear,4,3,54,0,8,22,0,1,7254,46,Home Win,7,1,1,8,8,8,2022,8,Monday
MTC-23691,2022-08-23,Cup Series,Chennai Titans,Kolkata Strikers,Away,Clear,4,3,45,6,0,21,4,0,45093,55,Home Win,7,1,1,6,-10,10,2022,8,Tuesday
MTC-22639,2022-08-23,Premier Division,Kolkata Strikers,Goa Sharks,Neutral,Windy,3,3,58,7,14,16,3,0,36600,42,Draw,6,0,0,21,16,16,2022,8,Tuesday
MTC-22402,2022-08-23,Premier Division,Delhi Dynamos,Chennai Titans,Neutral,Rainy,2,2,43,7,9,19,0,1,10844,57,Draw,4,0,0,16,-14,14,2022,8,Tuesday
MTC-21649,2022-08-23,Championship League,Hyderabad Falcons,Kolkata Strikers,Neutral,Rainy,1,5,53,6,6,20,4,0,24783,47,Away Win,6,-4,4,12,6,6,2022,8,Tuesday
MTC-21400,2022-08-23,Premier Division,Hyderabad Falcons,Delhi Dynamos,Home,Cloudy,4,3,45,4,0,23,3,1,28021,55,Home Win,7,1,1,4,-10,10,2022,8,Tuesday
MTC-23447,2022-08-23,Championship League,Delhi Dynamos,Bengaluru FC,Home,Clear,4,3,38,10,6,22,1,1,44098,62,Home Win,7,1,1,16,-24,24,2022,8,Tuesday
MTC-22006,2022-08-23,Premier Division,Chennai Titans,Goa Sharks,Neutral,Clear,5,2,39,13,4,5,0,0,7769,61,Home Win,7,3,3,17,-22,22,2022,8,Tuesday
MTC-21859,2022-08-24,Premier Division,Kerala Blasters,Kolkata Strikers,Away,Cloudy,3,5,32,0,4,6,5,1,61135,68,Away Win,8,-2,2,4,-36,36,2022,8,Wednesday
MTC-20542,2022-08-24,Premier Division,Kerala Blasters,Pune Warriors,Home,Cloudy,1,0,50,14,7,6,0,0,42255,50,Home Win,1,1,1,21,0,0,2022,8,Wednesday
MTC-23341,2022-08-24,Championship League,Pune Warriors,Kerala Blasters,Away,Clear,5,5,46,13,13,5,2,1,8514,54,Draw,10,0,0,26,-8,8,2022,8,Wednesday
MTC-20328,2022-08-24,Premier Division,Goa Sharks,Delhi Dynamos,Home,Windy,4,0,48,9,6,13,2,0,18532,52,Home Win,4,4,4,15,-4,4,2022,8,Wednesday
MTC-20983,2022-08-24,Championship League,Bengaluru FC,Hyderabad Falcons,Neutral,Windy,4,3,43,12,2,7,1,1,40602,57,Home Win,7,1,1,14,-14,14,2022,8,Wednesday
MTC-23668,2022-08-24,Premier Division,Delhi Dynamos,Hyderabad Falcons,Neutral,Clear,1,4,54,0,6,24,4,1,28253,46,Away Win,5,-3,3,6,8,8,2022,8,Wednesday
MTC-20113,2022-08-25,Championship League,Kerala Blasters,Goa Sharks,Neutral,Cloudy,2,3,69,13,11,23,3,0,22266,31,Away Win,5,-1,1,24,38,38,2022,8,Thursday
MTC-21249,2022-08-26,Premier Division,Goa Sharks,Jaipur Lions,Away,Windy,4,3,62,1,11,10,4,1,30237,38,Home Win,7,1,1,12,24,24,2022,8,Friday
MTC-20619,2022-08-26,Premier Division,Kerala Blasters,Mumbai United,Away,Cloudy,4,4,63,6,11,9,4,0,34772,37,Draw,8,0,0,17,26,26,2022,8,Friday
MTC-20811,2022-08-27,Championship League,Jaipur Lions,Pune Warriors,Home,Cloudy,4,5,31,4,4,11,2,0,57345,69,Away Win,9,-1,1,8,-38,38,2022,8,Saturday
MTC-22960,2022-08-27,Cup Series,Kolkata Strikers,Mumbai United,Neutral,Rainy,1,3,42,9,0,17,4,1,59183,58,Away Win,4,-2,2,9,-16,16,2022,8,Saturday
MTC-23431,2022-08-28,Cup Series,Kolkata Strikers,Goa Sharks,Home,Rainy,4,0,36,8,8,22,1,1,9127,64,Home Win,4,4,4,16,-28,28,2022,8,Sunday
MTC-21804,2022-08-28,Premier Division,Goa Sharks,Bengaluru FC,Home,Clear,4,0,62,9,12,18,6,0,16903,38,Home Win,4,4,4,21,24,24,2022,8,Sunday
MTC-20128,2022-08-28,Championship League,Pune Warriors,Bengaluru FC,Away,Windy,1,0,68,1,9,22,0,1,20091,32,Home Win,1,1,1,10,36,36,2022,8,Sunday
MTC-20157,2022-08-29,Cup Series,Pune Warriors,Kolkata Strikers,Neutral,Clear,3,1,54,11,1,10,3,0,38763,46,Home Win,4,2,2,12,8,8,2022,8,Monday
MTC-20900,2022-08-29,Cup Series,Delhi Dynamos,Jaipur Lions,Home,Rainy,0,3,42,3,7,10,6,0,29905,58,Away Win,3,-3,3,10,-16,16,2022,8,Monday
MTC-21236,2022-08-30,Premier Division,Mumbai United,Jaipur Lions,Neutral,Windy,3,3,48,9,3,23,4,1,5086,52,Draw,6,0,0,12,-4,4,2022,8,Tuesday
MTC-20843,2022-08-30,Premier Division,Goa Sharks,Kolkata Strikers,Home,Clear,3,5,69,14,13,10,3,0,48031,31,Away Win,8,-2,2,27,38,38,2022,8,Tuesday
MTC-22092,2022-08-30,Premier Division,Pune Warriors,Delhi Dynamos,Neutral,Windy,0,1,69,13,1,23,3,1,18268,31,Away Win,1,-1,1,14,38,38,2022,8,Tuesday
MTC-22385,2022-08-30,Cup Series,Jaipur Lions,Kolkata Strikers,Home,Cloudy,0,5,58,9,3,17,6,1,59624,42,Away Win,5,-5,5,12,16,16,2022,8,Tuesday
MTC-21442,2022-08-30,Championship League,Kerala Blasters,Chennai Titans,Away,Cloudy,3,1,41,7,1,22,4,0,53020,59,Home Win,4,2,2,8,-18,18,2022,8,Tuesday
MTC-21375,2022-08-30,Premier Division,Kolkata Strikers,Goa Sharks,Away,Windy,2,2,66,14,14,7,6,0,10403,34,Draw,4,0,0,28,32,32,2022,8,Tuesday
MTC-21308,2022-08-30,Premier Division,Kerala Blasters,Goa Sharks,Home,Windy,4,5,53,6,6,16,2,0,11114,47,Away Win,9,-1,1,12,6,6,2022,8,Tuesday
MTC-21958,2022-08-30,Championship League,Goa Sharks,Hyderabad Falcons,Neutral,Cloudy,0,4,58,7,13,21,3,1,55551,42,Away Win,4,-4,4,20,16,16,2022,8,Tuesday
MTC-21253,2022-08-30,Premier Division,Kerala Blasters,Hyderabad Falcons,Away,Windy,5,1,33,8,2,23,1,1,62009,67,Home Win,6,4,4,10,-34,34,2022,8,Tuesday
MTC-20498,2022-08-30,Premier Division,Pune Warriors,Kerala Blasters,Neutral,Rainy,2,0,54,7,1,15,3,1,18381,46,Home Win,2,2,2,8,8,8,2022,8,Tuesday
MTC-22990,2022-08-30,Premier Division,Mumbai United,Jaipur Lions,Neutral,Windy,0,2,53,10,6,12,5,0,37047,47,Away Win,2,-2,2,16,6,6,2022,8,Tuesday
MTC-21084,2022-08-31,Championship League,Pune Warriors,Goa Sharks,Home,Rainy,3,1,62,2,9,6,2,1,44909,38,Home Win,4,2,2,11,24,24,2022,8,Wednesday
MTC-22628,2022-08-31,Premier Division,Goa Sharks,Delhi Dynamos,Away,Rainy,2,3,70,5,1,10,0,0,7609,30,Away Win,5,-1,1,6,40,40,2022,8,Wednesday
MTC-21207,2022-08-31,Cup Series,Mumbai United,Chennai Titans,Neutral,Rainy,5,0,59,1,7,22,5,0,47438,41,Home Win,5,5,5,8,18,18,2022,8,Wednesday
MTC-21739,2022-08-31,Cup Series,Bengaluru FC,Kerala Blasters,Neutral,Windy,4,1,49,11,5,20,1,0,54953,51,Home Win,5,3,3,16,-2,2,2022,8,Wednesday
MTC-22100,2022-08-31,Cup Series,Kolkata Strikers,Mumbai United,Home,Cloudy,2,0,48,9,2,12,3,0,62294,52,Home Win,2,2,2,11,-4,4,2022,8,Wednesday
MTC-22892,2022-09-01,Cup Series,Chennai Titans,Delhi Dynamos,Away,Rainy,4,4,53,11,10,7,1,1,35509,47,Draw,8,0,0,21,6,6,2022,9,Thursday
MTC-21120,2022-09-01,Championship League,Jaipur Lions,Pune Warriors,Away,Cloudy,2,3,48,5,9,9,4,0,59819,52,Away Win,5,-1,1,14,-4,4,2022,9,Thursday
MTC-22701,2022-09-01,Cup Series,Kerala Blasters,Jaipur Lions,Neutral,Rainy,3,4,40,9,13,20,6,1,53460,60,Away Win,7,-1,1,22,-20,20,2022,9,Thursday
MTC-21875,2022-09-02,Cup Series,Pune Warriors,Kolkata Strikers,Home,Windy,4,5,35,4,12,11,3,0,26047,65,Away Win,9,-1,1,16,-30,30,2022,9,Friday
MTC-22863,2022-09-02,Cup Series,Mumbai United,Goa Sharks,Away,Windy,2,0,69,12,4,8,3,0,64399,31,Home Win,2,2,2,16,38,38,2022,9,Friday
MTC-21478,2022-09-02,Premier Division,Hyderabad Falcons,Kerala Blasters,Away,Clear,4,2,42,11,6,6,1,0,43939,58,Home Win,6,2,2,17,-16,16,2022,9,Friday
